Area Rank,City,Area Value,Region,"Density Rank, Stadestér",City,Density Value (ihb/ha),Region,"Density Rank, GHSL",City,Density Value (ihb/km^2),Region,Population Rank,City,Population Value,Region
94,Sõul,785.2874459,eastasia,94,Ciudad de Mé,923.4866227,latin_america,94,Buram,31087,sub_saharan_africa,94,Kampala; Kir,5177878,sub_saharan_africa
95,Milan; Monza,785,europe,95,Polonaruwa,922.8226499,indian_subcontinent,95,Meichuan,30931,eastasia,95,Chattogram,5175717,indian_subcontinent
96,Perth; Joond,784,oceania,96,Artemivs'k,922.1279136,eastern_europe_and_russia,96,Bendaravadi;,30908,indian_subcontinent,96,Rio de Janei,5154146,latin_america
97,San Diego; C,778,northern_america,97,Kortrijk,918.0825592,europe,97,Daying,30898,eastasia,97,Zhengzhou; J,5126112,eastasia
98,Wuhan; Hongs,772,eastasia,98,Condé-sur-l',917.8351303,europe,98,As Sayyid,30886,middle_east,98,Singapore,5117759,southeast_asia
99,Rio de Janei,768.9312414,latin_america,99,Khiva,913.9953094,central_asia,99,Wegeda,30885,sub_saharan_africa,99,Kano,5110616,sub_saharan_africa
100,Sacramento; ,759,northern_america,100,Saint Peter ,913.1588403,europe,100,Faridpur,30817,indian_subcontinent,100,Kochi; Ernak,5069022,indian_subcontinent
101,Philadelphia,754.5924063,northern_america,101,Bridgetown (,912.8996103,latin_america,101,Kibet,30724,sub_saharan_africa,101,Hanoi; T? S?,4965520,southeast_asia
102,Ponnani; Kut,754,indian_subcontinent,102,Dubrovnik (t,912.4448218,eastern_europe_and_russia,102,Siyana,30651,indian_subcontinent,102,Kumasi,4923115,sub_saharan_africa
103,Chicoutimi,751.1018832,northern_america,103,Kampala,911.2706296,sub_saharan_africa,103,Bhinga,30418,indian_subcontinent,103,Rawalpindi; ,4913528,central_asia
104,Manchester; ,751,europe,104,Zary,910.5845149,europe,104,Wereta,30330,sub_saharan_africa,104,Saint Peters,4878966,eastern_europe_and_russia
105,Orlando; Kis,750,northern_america,105,Lens,909.0800094,europe,105,Kattappana,30315,indian_subcontinent,105,Philadelphia,4853649,northern_america
